dataset,size,proxy,self,concat,concat.smoothed,sepDec.smoothed,datasetEmbeds.smoothed
UD_Afrikaans-AfriBooms,af_afribooms,,---,33880,97.20,96.24,98.05,98.61,97.67
UD_Assyrian-AS,aii_as,,et\_ewt,0,45.33,43.05,42.02,42.82,45.92
UD_South_Levantine_Arabic-MADAR,ajp_madar,,ar\_padt,0,55.73,56.91,57.54,56.99,61.30
UD_Akkadian-PISANDUB,akk_pisandub,,et\_edt,0,9.34,87.45,94.09,30.78,78.18
UD_Akkadian-RIAO,akk_riao,,et\_edt,0,5.87,15.03,16.05,8.13,16.30
UD_Amharic-ATT,am_att,,et\_ewt,0,32.34,25.99,21.65,20.52,24.72
UD_Apurina-UFPA,apu_ufpa,,fi\_ftb,0,71.56,50.32,50.79,56.31,47.67
UD_Akuntsu-TuDeT,aqz_tudet,,cs\_pdt,0,30.01,40.35,46.33,27.47,49.12
UD_Arabic-PADT,ar_padt,,---,254400,71.84,70.64,72.12,72.80,72.45
UD_Arabic-PUD,ar_pud,,ar\_padt,0,39.35,39.91,40.21,39.54,40.33
UD_Belarusian-HSE,be_hse,,---,273425,94.36,94.06,94.55,95.13,95.23
UD_Beja-NSC,bej_nsc,,---,0,30.61,39.84,39.69,28.85,39.78
UD_Bulgarian-BTB,bg_btb,,---,124336,97.56,95.97,97.39,98.30,97.48
UD_Bhojpuri-BHTB,bho_bhtb,,hi\_hdtb,0,49.82,50.09,48.16,48.54,48.26
UD_Bambara-CRB,bm_crb,,qhe\_hiencs,0,70.69,40.47,41.07,70.69,39.96
UD_Breton-KEB,br_keb,,fr\_gsd,0,47.37,37.51,41.63,43.76,41.86
UD_Buryat-BDT,bxr_bdt,,---,153,44.42,43.96,54.63,49.47,47.22
UD_Catalan-AnCora,ca_ancora,,---,441561,94.26,94.25,94.33,94.34,94.37
UD_Chukchi-HSE,ckt_hse,,ru\_syntagrus,0,0.00,0.00,0.00,0.00,0.00
UD_Coptic-Scriptorium,cop_scriptorium,,---,35267,14.17,14.66,12.76,13.90,14.47
UD_Czech-CAC,cs_cac,,---,474687,95.31,95.29,95.04,96.95,97.15
UD_Czech-CLTT,cs_cltt,,---,27770,85.56,94.50,94.48,94.38,94.83
UD_Czech-FicTree,cs_fictree,,---,134389,94.67,91.43,93.18,97.31,95.43
UD_Czech-PDT,cs_pdt,,---,1177406,97.24,96.52,95.17,97.28,97.62
UD_Czech-PUD,cs_pud,,cs\_pdt,0,94.32,93.04,92.30,94.51,94.71
UD_Old_Church_Slavonic-PROIEL,cu_proiel,,---,37432,69.45,70.84,90.59,92.76,90.38
UD_Welsh-CCG,cy_ccg,,---,10826,76.87,76.84,86.69,87.48,81.89
UD_Danish-DDT,da_ddt,,---,80378,96.90,95.06,97.06,98.28,97.21
UD_German-GSD,de_gsd,,---,268414,88.60,64.30,81.47,89.80,75.85
UD_German-HDT,de_hdt,,---,2753627,94.19,93.66,71.53,93.18,94.16
UD_German-LIT,de_lit,,de\_hdt,0,27.74,32.42,36.62,27.59,30.66
UD_German-PUD,de_pud,,de\_hdt,0,22.63,27.36,29.22,23.93,27.36
UD_Greek-GDT,el_gdt,,---,43440,88.83,89.94,92.39,92.84,91.88
UD_English-EWT,en_ewt,,---,207224,95.29,93.46,93.57,95.59,94.89
UD_English-GUM,en_gum,,---,103551,96.00,90.56,91.49,96.23,94.47
UD_English-LinES,en_lines,,---,57372,96.65,92.05,93.02,96.90,94.62
UD_English-ParTUT,en_partut,,---,43531,95.55,91.87,93.70,96.23,93.44
UD_English-Pronouns,en_pronouns,,en\_ewt,0,66.61,68.58,68.98,70.09,69.62
UD_English-PUD,en_pud,,en\_ewt,0,95.60,91.02,89.79,96.32,93.86
UD_Spanish-AnCora,es_ancora,,---,463363,95.45,94.73,94.92,95.56,95.30
UD_Spanish-GSD,es_gsd,,---,389703,93.42,91.72,92.07,93.54,92.74
UD_Spanish-PUD,es_pud,,es\_gsd,0,68.17,67.47,67.57,68.29,67.90
UD_Yupik-SLI,ess_sli,,---,0,16.42,17.14,16.93,16.59,17.35
